month,day,campaign_number,user_engagement,banner,placement,displays,cost,clicks,revenue,post_click_conversions,post_click_sales_amount,,
April,1,camp 1,High,160 x 600,abc,4,0.006,0,0,0,0,,
April,1,camp 1,High,160 x 600,def,20170,26.7824,158,28.9717,23,1972.4602,,
April,1,camp 1,High,160 x 600,ghi,14701,27.6304,158,28.9771,78,2497.2636,,
April,1,camp 1,High,160 x 600,mno,171259,216.875,1796,329.4518,617,24625.3234,,
April,1,camp 1,Low,160 x 600,def,552,0.067,1,0.1834,0,0,,
April,1,camp 1,Low,160 x 600,ghi,16,0.0249,0,0,0,0,,
April,1,camp 1,Low,160 x 600,mno,2234,0.4044,10,1.8347,3,101.7494,,
April,1,camp 1,Medium,160 x 600,def,2963,1.8899,4,0.7338,4,100.5044,,
April,1,camp 1,Medium,160 x 600,ghi,580,0.9917,9,1.6512,0,0,,
April,1,camp 1,Medium,160 x 600,mno,20152,11.1678,185,33.9397,13,653.1896,,
April,1,camp 1,High,240 x 400,def,56499,50.5157,309,56.6775,105,4288.6699,,
April,1,camp 1,High,240 x 400,ghi,392142,351.9167,10237,1877.8227,2513,119601.4208,,
April,1,camp 1,High,240 x 400,jkl,62395,30.2386,678,124.3631,173,10402.0618,,
April,1,camp 1,High,240 x 400,mno,214074,432.5858,2120,388.8174,805,39654.6687,,
April,1,camp 1,Low,240 x 400,def,671,0.0997,2,0.3669,0,0,,
April,1,camp 1,Low,240 x 400,ghi,1188,0.904,7,1.2843,2,145.5734,,
April,1,camp 1,Low,240 x 400,jkl,380,0.1743,1,0.1834,1,211.5323,,
April,1,camp 1,Low,240 x 400,mno,1789,0.4418,3,0.5504,0,0,,
April,1,camp 1,Medium,240 x 400,def,6595,2.3886,30,5.5042,3,14.6254,,
April,1,camp 1,Medium,240 x 400,ghi,25765,22.1996,696,127.6715,82,5851.2447,,
April,1,camp 1,Medium,240 x 400,jkl,4595,2.2328,45,8.2563,5,392.7653,,
April,1,camp 1,Medium,240 x 400,mno,18518,16.6353,158,28.9859,28,1735.5801,,
April,1,camp 1,High,300 x 250,abc,11,0.0225,0,0,0,0,,
April,1,camp 1,High,300 x 250,def,52381,54.8999,286,52.4647,99,4844.9065,,
April,1,camp 1,High,300 x 250,ghi,62042,42.1673,1164,213.5207,364,20272.775,,
April,1,camp 1,High,300 x 250,jkl,10001,5.495,82,15.0419,27,1304.4818,,
April,1,camp 1,High,300 x 250,mno,277579,336.111,2042,374.5268,754,45839.9536,,
April,1,camp 1,Low,300 x 250,def,448,0.1226,2,0.3669,0,0,,
April,1,camp 1,Low,300 x 250,ghi,112,0.0661,1,0.1834,0,0,,
April,1,camp 1,Low,300 x 250,jkl,28,0.017,0,0,0,0,,
April,1,camp 1,Low,300 x 250,mno,3841,0.7599,15,2.7521,7,1864.6591,,
April,1,camp 1,Medium,300 x 250,def,5932,3.8013,30,5.4954,6,573.1474,,
April,1,camp 1,Medium,300 x 250,ghi,2983,1.8454,82,15.039,1,29.2134,,
April,1,camp 1,Medium,300 x 250,jkl,678,0.3841,4,0.7338,1,14.1537,,
April,1,camp 1,Medium,300 x 250,mno,30998,17.3368,184,33.7474,12,1323.659,,
April,1,camp 1,High,468 x 60,def,1182,0.7543,2,0.3669,1,30.8236,,
April,1,camp 1,High,468 x 60,ghi,467,0.1835,0,0,0,0,,
April,1,camp 1,High,468 x 60,jkl,7,0.0045,1,0.1834,0,0,,
April,1,camp 1,High,468 x 60,mno,4177,2.5521,7,1.2843,0,0,,
April,1,camp 1,Low,468 x 60,def,7,0.0015,1,0.1834,0,0,,
April,1,camp 1,Low,468 x 60,mno,36,0.002,0,0,0,0,,
April,1,camp 1,Medium,468 x 60,def,68,0.0102,0,0,0,0,,
April,1,camp 1,Medium,468 x 60,ghi,14,0.0055,0,0,0,0,,
April,1,camp 1,Medium,468 x 60,mno,502,0.1096,0,0,0,0,,
April,1,camp 1,High,580 x 400,mno,52004,132.7561,1043,191.2989,401,15561.6075,,
April,1,camp 1,Low,580 x 400,mno,492,0.1722,6,1.1008,1,45.9209,,
April,1,camp 1,Medium,580 x 400,mno,4795,6.0088,60,11.0055,8,767.8439,,
April,1,camp 1,High,670 x 90,def,5270,8.8886,56,10.2745,39,776.4618,,
April,1,camp 1,High,670 x 90,ghi,20898,16.8185,165,30.2614,63,2214.2764,,
April,1,camp 1,High,670 x 90,jkl,434,0.308,3,0.5504,0,0,,
April,1,camp 1,High,670 x 90,mno,20161,31.6511,176,32.2884,92,3989.2796,,
April,1,camp 1,Low,670 x 90,def,45,0.0111,1,0.1834,0,0,,
April,1,camp 1,Low,670 x 90,ghi,21,0.0135,0,0,0,0,,
April,1,camp 1,Low,670 x 90,jkl,3,0.0015,0,0,0,0,,
April,1,camp 1,Low,670 x 90,mno,175,0.0204,1,0.1834,0,0,,
April,1,camp 1,Medium,670 x 90,def,441,0.3654,7,1.2843,0,0,,
April,1,camp 1,Medium,670 x 90,ghi,1233,0.9526,9,1.6512,2,183.3429,,
April,1,camp 1,Medium,670 x 90,jkl,84,0.058,0,0,0,0,,
April,1,camp 1,Medium,670 x 90,mno,1978,1.3976,13,2.3851,0,0,,
April,1,camp 1,High,728 x 90,abc,20,0.0284,0,0,0,0,,
April,1,camp 1,High,728 x 90,def,77942,74.7667,410,75.1528,121,6710.2429,,
April,1,camp 1,High,728 x 90,ghi,221002,292.8014,3384,620.7497,1179,59726.9939,,
April,1,camp 1,High,728 x 90,jkl,32546,13.5669,254,46.5936,93,5418.0655,,
April,1,camp 1,High,728 x 90,mno,428642,424.0715,2961,543.1365,1239,57545.6564,,
April,1,camp 1,Low,728 x 90,def,824,0.1407,4,0.7338,0,0,,
April,1,camp 1,Low,728 x 90,ghi,366,0.4347,3,0.5504,0,0,,
April,1,camp 1,Low,728 x 90,jkl,149,0.06,0,0,0,0,,
April,1,camp 1,Low,728 x 90,mno,5689,1.099,10,1.8288,1,12.7891,,
April,1,camp 1,Medium,728 x 90,abc,1,0.0015,0,0,0,0,,
April,1,camp 1,Medium,728 x 90,def,8165,3.8733,34,6.2381,1,72.0659,,
April,1,camp 1,Medium,728 x 90,ghi,10611,13.1693,179,32.833,32,1587.3458,,
April,1,camp 1,Medium,728 x 90,jkl,2741,1.1191,31,5.6876,2,85.7347,,
April,1,camp 1,Medium,728 x 90,mno,50040,23.4219,309,56.665,31,2749.2091,,
April,1,camp 1,High,800 x 250,mno,21,0.0235,1,0.1834,0,0,,
April,1,camp 1,Medium,800 x 250,mno,1,0.0017,0,0,0,0,,
April,1,camp 2,Low,160 x 600,def,6745,0.5595,21,0.8256,0,0,,
April,1,camp 2,Low,160 x 600,ghi,99,0.1207,1,0.0393,0,0,,
April,1,camp 2,Low,160 x 600,mno,50107,5.9831,367,14.427,3,66.5661,,
April,1,camp 2,Medium,160 x 600,abc,7,0.0085,0,0,0,0,,
April,1,camp 2,Medium,160 x 600,def,22075,5.1608,321,12.6178,4,269.4696,,
April,1,camp 2,Medium,160 x 600,ghi,2469,3.7891,58,2.2803,3,236.7731,,
April,1,camp 2,Medium,160 x 600,mno,181282,45.9527,3611,141.9534,56,2923.7718,,
April,1,camp 2,Low,240 x 400,def,12670,1.4582,51,2.0051,0,0,,
April,1,camp 2,Low,240 x 400,ghi,23968,18.3079,574,22.5666,10,1003.2078,,
April,1,camp 2,Low,240 x 400,jkl,3706,1.6423,48,1.8871,0,0,,
April,1,camp 2,Low,240 x 400,mno,39787,4.5533,209,8.2163,0,0,,
April,1,camp 2,Medium,240 x 400,def,64482,13.582,886,34.825,4,166.4344,,
April,1,camp 2,Medium,240 x 400,ghi,214846,184.0818,10390,408.4178,146,12485.0212,,
April,1,camp 2,Medium,240 x 400,jkl,28666,13.0473,755,29.6727,18,916.0838,,
April,1,camp 2,Medium,240 x 400,mno,184116,61.6561,2720,106.9128,39,3724.3667,,
April,1,camp 2,Low,300 x 250,abc,3,0.0061,1,0.0393,0,0,,
April,1,camp 2,Low,300 x 250,def,8682,1.497,44,1.7286,0,0,,
April,1,camp 2,Low,300 x 250,ghi,4354,2.6398,86,3.3786,2,141.2879,,
April,1,camp 2,Low,300 x 250,jkl,128,0.072,0,0,0,0,,
April,1,camp 2,Low,300 x 250,mno,92429,9.1632,498,19.5742,1,12.9709,,
April,1,camp 2,Medium,300 x 250,abc,11,0.017,0,0,0,0,,
April,1,camp 2,Medium,300 x 250,def,35227,14.1625,401,15.7612,14,839.2774,,
April,1,camp 2,Medium,300 x 250,ghi,33570,20.8269,1426,56.0374,38,2771.717,,
April,1,camp 2,Medium,300 x 250,jkl,2324,1.318,19,0.747,0,0,,
