,campaign_number,user_engagement,banner,placement,displays,clicks,ad_spend_by_company_x,post_click_conversions,post_click_sales_amount
0,camp 1,High,160 x 600,abc,4,0,0.0,0,0.0
1,camp 1,High,160 x 600,def,20170,158,28.9717,23,1972.4602
2,camp 1,High,160 x 600,ghi,14701,158,28.9771,78,2497.2636
3,camp 1,High,160 x 600,mno,171259,1796,329.4518,617,24625.3234
4,camp 1,Low,160 x 600,def,552,1,0.1834,0,0.0
5,camp 1,Low,160 x 600,ghi,16,0,0.0,0,0.0
6,camp 1,Low,160 x 600,mno,2234,10,1.8347,3,101.7494
7,camp 1,Medium,160 x 600,def,2963,4,0.7338,4,100.5044
8,camp 1,Medium,160 x 600,ghi,580,9,1.6512,0,0.0
9,camp 1,Medium,160 x 600,mno,20152,185,33.9397,13,653.1896
10,camp 1,High,240 x 400,def,56499,309,56.6775,105,4288.6699
11,camp 1,High,240 x 400,ghi,392142,10237,1877.8227,2513,119601.4208
12,camp 1,High,240 x 400,jkl,62395,678,124.3631,173,10402.0618
13,camp 1,High,240 x 400,mno,214074,2120,388.8174,805,39654.6687
14,camp 1,Low,240 x 400,def,671,2,0.3669,0,0.0
15,camp 1,Low,240 x 400,ghi,1188,7,1.2843,2,145.5734
16,camp 1,Low,240 x 400,jkl,380,1,0.1834,1,211.5323
17,camp 1,Low,240 x 400,mno,1789,3,0.5504,0,0.0
18,camp 1,Medium,240 x 400,def,6595,30,5.5042,3,14.6254
19,camp 1,Medium,240 x 400,ghi,25765,696,127.6715,82,5851.2447
20,camp 1,Medium,240 x 400,jkl,4595,45,8.2563,5,392.7653
21,camp 1,Medium,240 x 400,mno,18518,158,28.9859,28,1735.5801
22,camp 1,High,300 x 250,abc,11,0,0.0,0,0.0
23,camp 1,High,300 x 250,def,52381,286,52.4647,99,4844.9065
24,camp 1,High,300 x 250,ghi,62042,1164,213.5207,364,20272.775
25,camp 1,High,300 x 250,jkl,10001,82,15.0419,27,1304.4818
26,camp 1,High,300 x 250,mno,277579,2042,374.5268,754,45839.9536
27,camp 1,Low,300 x 250,def,448,2,0.3669,0,0.0
28,camp 1,Low,300 x 250,ghi,112,1,0.1834,0,0.0
29,camp 1,Low,300 x 250,jkl,28,0,0.0,0,0.0
30,camp 1,Low,300 x 250,mno,3841,15,2.7521,7,1864.6591
31,camp 1,Medium,300 x 250,def,5932,30,5.4954,6,573.1474
32,camp 1,Medium,300 x 250,ghi,2983,82,15.039,1,29.2134
33,camp 1,Medium,300 x 250,jkl,678,4,0.7338,1,14.1537
34,camp 1,Medium,300 x 250,mno,30998,184,33.7474,12,1323.659
35,camp 1,High,468 x 60,def,1182,2,0.3669,1,30.8236
36,camp 1,High,468 x 60,ghi,467,0,0.0,0,0.0
37,camp 1,High,468 x 60,jkl,7,1,0.1834,0,0.0
38,camp 1,High,468 x 60,mno,4177,7,1.2843,0,0.0
39,camp 1,Low,468 x 60,def,7,1,0.1834,0,0.0
40,camp 1,Low,468 x 60,mno,36,0,0.0,0,0.0
41,camp 1,Medium,468 x 60,def,68,0,0.0,0,0.0
42,camp 1,Medium,468 x 60,ghi,14,0,0.0,0,0.0
43,camp 1,Medium,468 x 60,mno,502,0,0.0,0,0.0
44,camp 1,High,580 x 400,mno,52004,1043,191.2989,401,15561.6075
45,camp 1,Low,580 x 400,mno,492,6,1.1008,1,45.9209
46,camp 1,Medium,580 x 400,mno,4795,60,11.0055,8,767.8439
47,camp 1,High,670 x 90,def,5270,56,10.2745,39,776.4618
48,camp 1,High,670 x 90,ghi,20898,165,30.2614,63,2214.2764
49,camp 1,High,670 x 90,jkl,434,3,0.5504,0,0.0
50,camp 1,High,670 x 90,mno,20161,176,32.2884,92,3989.2796
51,camp 1,Low,670 x 90,def,45,1,0.1834,0,0.0
52,camp 1,Low,670 x 90,ghi,21,0,0.0,0,0.0
53,camp 1,Low,670 x 90,jkl,3,0,0.0,0,0.0
54,camp 1,Low,670 x 90,mno,175,1,0.1834,0,0.0
55,camp 1,Medium,670 x 90,def,441,7,1.2843,0,0.0
56,camp 1,Medium,670 x 90,ghi,1233,9,1.6512,2,183.3429
57,camp 1,Medium,670 x 90,jkl,84,0,0.0,0,0.0
58,camp 1,Medium,670 x 90,mno,1978,13,2.3851,0,0.0
59,camp 1,High,728 x 90,abc,20,0,0.0,0,0.0
60,camp 1,High,728 x 90,def,77942,410,75.1528,121,6710.2429
61,camp 1,High,728 x 90,ghi,221002,3384,620.7497,1179,59726.9939
62,camp 1,High,728 x 90,jkl,32546,254,46.5936,93,5418.0655
63,camp 1,High,728 x 90,mno,428642,2961,543.1365,1239,57545.6564
64,camp 1,Low,728 x 90,def,824,4,0.7338,0,0.0
65,camp 1,Low,728 x 90,ghi,366,3,0.5504,0,0.0
66,camp 1,Low,728 x 90,jkl,149,0,0.0,0,0.0
67,camp 1,Low,728 x 90,mno,5689,10,1.8288,1,12.7891
68,camp 1,Medium,728 x 90,abc,1,0,0.0,0,0.0
69,camp 1,Medium,728 x 90,def,8165,34,6.2381,1,72.0659
70,camp 1,Medium,728 x 90,ghi,10611,179,32.833,32,1587.3458
71,camp 1,Medium,728 x 90,jkl,2741,31,5.6876,2,85.7347
72,camp 1,Medium,728 x 90,mno,50040,309,56.665,31,2749.2091
73,camp 1,High,800 x 250,mno,21,1,0.1834,0,0.0
